,FH_REF,TP_SEGMENTO_FINAL2,target,ID,TO_PROM_TO_CARGOS_3M,NU_VINC_COGNODATA,TO_NECESIDAD_FINAN_CAP_3M,IM_PROM_GASTOS_3M,IM_SUM_SDO_CORTE_1M
263,2018-04-01,HOGARES CON HIJOS,104,6524,9.506616595135936,4.18071735131821,15318.703533456754,833389.4888192277,2868582.6649665283
266,2018-04-01,JOVEN PROFESIONAL,70,4485,11.8539204756596,2.6717948717948716,4954.47565545716,335565.77369794744,2125447.4457964604
267,2018-04-01,JOVEN TRABAJADOR,37,5121,7.955509991538127,1.7566881468463191,6523.877804929907,34744.21250134842,877415.3448275862
268,2018-04-01,PAREJA JOVEN,48,3711,8.119240097008893,2.8132578819725143,1550.609828273672,270870.94895547663,1902781.1875776397
269,2018-04-01,PAREJAS ADULTAS,47,3269,9.059600285510339,3.110125420617926,15101.97549917121,318141.9022877551,1938667.1251596424
270,2018-04-01,PAREJAS SENIOR,74,4635,6.612010068320729,3.12470334412082,1063.6655175191586,492642.8244019564,2245288.3631624673
273,2018-05-01,ADULTO EN PLENITUD,71,8424,3.2559156378600465,2.2536799620132952,3317.495540754123,148995.0581025964,1983610.608907446
274,2018-05-01,ADULTOS INDEPENDIENTES,55,5693,6.450143451021703,2.5257333567539084,296.06659137216315,354591.5364196358,2485152.682659933
275,2018-05-01,DIVORCIADO,36,2766,9.83405639913232,3.467100506146059,38318.01520792495,532646.5204821056,3005682.483568075
276,2018-05-01,HOGARES CON HIJOS,99,6498,9.946265517595162,4.192982456140351,14130.207409764496,832497.3692274515,2837471.6766698933
279,2018-05-01,JOVEN PROFESIONAL,77,4445,12.475215598050253,2.691338582677165,1063.3578804803878,351227.9188658873,2095610.0559284117
280,2018-05-01,JOVEN TRABAJADOR,47,5249,8.292627167079461,1.7643360640121928,9129.621160232484,35962.2306646934,870376.3456221198
